Sparus aurata,spondyliosoma cantharus,Dicentrarchus punctatus,Halobatrachus didactylus,Anguilla anguilla,Dentex dentex,Belone belone,Dicentrarchus labrax,Solea senegalensis,Diplodus annullaris,Diplodus vulgaris,Atherina cf. boyeri,Mullus barbatus,Diplodus sargus,Sarpa salpa,labrus sp,gobidae sp,Engraulis encrasicholus,Sardina pilchardus,Chelon labrosus
Dourada ,Choupa,baila,toadfish,Eel,Pargo,garfish,Seabass,sole,Mucharra,Safia,silverside,red mullet,Sargo,Salema,wrasse,goby,anchovy,sardine,grey mullet
,36.9,,,,,,,,24.0,,,,,,,,,15.06,
,33.4,,,,,,,,29.4,,,,,,,,,15.06,
,26,,,,,,,,31.2,,,,,,,,,15.06,
,34.1,,,,,,,,27.7,,,,,,,,,15.06,
,25.3,,,,,,,,27.5,,,,,,,,,15.06,
,28.1,,,,,,,,23.4,,,,,,,,,15.06,
,37.7,,,,,,,,25.6,,,,,,,,,15.06,
,36.1,,,,,,,,29.0,,,,,,,,,15.06,
,25.2,,,,,,,,29.4,,,,,,,,,15.06,
,30.1,,,,,,,,28.8,,,,,,,,,15.06,
,31.1,,,,,,,,26.6,,,,,,,,,15.06,
,30,,,,,,,,33.7,,,,,,,,,15.06,
,34.3,,,,,,,,29.6,,,,,,,,,15.06,
,26,,,,,,,,90.6,,,,,,,,,15.06,
,36.8,,,,,,,,71.3,,,,,,,,,15.06,
,71.4,,,,,,,,68.4,,,,,,,,,15.06,
,20.7,,,,,,,,104.0,,,,,,,,,15.06,
,24,,,,,,,,83.1,,,,,,,,,15.06,
,31.3,,,,,,,,37.2,,,,,,,,,15.06,
,43.4,,,,,,,,20.3,,,,,,,,,15.06,
,36.9,,,,,,,,28.4,,,,,,,,,15.06,
,27.4,,,,,,,,32.8,,,,,,,,,15.06,
,34.8,,,,,,,,29.8,,,,,,,,,15.06,
,27.4,,,,,,,,32.0,,,,,,,,,15.06,
,31.9,,,,,,,,27.7,,,,,,,,,15.06,
,108.7,,,,,,,,23.8,,,,,,,,,15.06,
,68.2,,,,,,,,30.6,,,,,,,,,15.06,
,34.4,,,,,,,,21.8,,,,,,,,,15.06,
,32,,,,,,,,21.2,,,,,,,,,15.06,
,32.2,,,,,,,,26.2,,,,,,,,,15.06,
,36.7,,,,,,,,30.5,,,,,,,,,15.06,
,37.1,,,,,,,,27.8,,,,,,,,,15.06,
,27.6,,,,,,,,25.1,,,,,,,,,15.06,
,36.5,,,,,,,,28.0,,,,,,,,,15.06,
,36.3,,,,,,,,33.5,,,,,,,,,15.06,
,33,,,,,,,,58.0,,,,,,,,,15.06,
,30.6,,,,,,,,26.0,,,,,,,,,15.06,
,24.6,,,,,,,,28.6,,,,,,,,,15.06,
,30.1,,,,,,,,26.6,,,,,,,,,15.06,
,35.3,,,,,,,,32.6,,,,,,,,,15.06,
,25.9,,,,,,,,30.6,,,,,,,,,15.06,
,30.9,,,,,,,,32.4,,,,,,,,,15.06,
,32.4,,,,,,,,22.1,,,,,,,,,15.06,
,41.1,,,,,,,,31.1,,,,,,,,,15.06,
,36.5,,,,,,,,29.3,,,,,,,,,15.06,
,36.6,,,,,,,,32.6,,,,,,,,,15.06,
,32,,,,,,,,29.3,,,,,,,,,15.06,
,33.6,,,,,,,,20.7,,,,,,,,,15.06,
,29.1,,,,,,,,29.0,,,,,,,,,15.06,
,37.4,,,,,,,,25.9,,,,,,,,,15.06,
,24.5,,,,,,,,31.9,,,,,,,,,15.06,
,33.6,,,,,,,,30.2,,,,,,,,,15.06,
,27.7,,,,,,,,28.1,,,,,,,,,15.06,
,32.7,,,,,,,,,,,,,,,,,15.06,
,25.1,,,,,,,,,,,,,,,,,15.06,
,29.4,,,,,,,,,,,,,,,,,15.06,
,22.5,,,,,,,,,,,,,,,,,15.06,
,37.2,,,,,,,,,,,,,,,,,15.06,
,30.8,,,,,,,,,,,,,,,,,15.06,
,29.4,,,,,,,,,,,,,,,,,15.06,
