Scientific name,common name ,weight
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,17.53
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
Sardina pilchardus,sardine,15.06
